[0] reg4 = 103548; prev reg4 = -1
[76] reg4 = 639036; prev reg4 = 14109910
[77] reg4 = 3100168; prev reg4 = 639036
[78] reg4 = 2591916; prev reg4 = 3100168
[79] reg4 = 9260878; prev reg4 = 2591916
[80] reg4 = 11686753; prev reg4 = 9260878
[81] reg4 = 9760336; prev reg4 = 11686753
[82] reg4 = 15583302; prev reg4 = 9760336
[83] reg4 = 344666; prev reg4 = 15583302
[84] reg4 = 7062280; prev reg4 = 344666
[85] reg4 = 1908813; prev reg4 = 7062280
[86] reg4 = 9721927; prev reg4 = 1908813
[87] reg4 = 3174645; prev reg4 = 9721927
[88] reg4 = 5891307; prev reg4 = 3174645
[89] reg4 = 3325497; prev reg4 = 5891307
[90] reg4 = 10153771; prev reg4 = 3325497
[91] reg4 = 1571714; prev reg4 = 10153771
[92] reg4 = 5914935; prev reg4 = 1571714
[93] reg4 = 4201192; prev reg4 = 5914935
[94] reg4 = 10084670; prev reg4 = 4201192
[95] reg4 = 10628279; prev reg4 = 10084670
[96] reg4 = 4092243; prev reg4 = 10628279
[97] reg4 = 2920184; prev reg4 = 4092243
[98] reg4 = 11847142; prev reg4 = 2920184
[99] reg4 = 5152423; prev reg4 = 11847142
[100] reg4 = 13462377; prev reg4 = 5152423
[101] reg4 = 1455902; prev reg4 = 13462377
[102] reg4 = 1186599; prev reg4 = 1455902
[103] reg4 = 10061866; prev reg4 = 1186599
[104] reg4 = 2622442; prev reg4 = 10061866
[105] reg4 = 2308413; prev reg4 = 2622442
[106] reg4 = 6610858; prev reg4 = 2308413
[107] reg4 = 13291661; prev reg4 = 6610858
[108] reg4 = 16532209; prev reg4 = 13291661
[109] reg4 = 4396965; prev reg4 = 16532209
[110] reg4 = 13513264; prev reg4 = 4396965
[111] reg4 = 15372360; prev reg4 = 13513264
[112] reg4 = 13393842; prev reg4 = 15372360
[113] reg4 = 5827101; prev reg4 = 13393842
[114] reg4 = 5866437; prev reg4 = 5827101
[115] reg4 = 10551758; prev reg4 = 5866437
[116] reg4 = 6538463; prev reg4 = 10551758
[117] reg4 = 139619; prev reg4 = 6538463
[118] reg4 = 12395844; prev reg4 = 139619
[119] reg4 = 4295129; prev reg4 = 12395844
[120] reg4 = 16393880; prev reg4 = 4295129
[121] reg4 = 15740856; prev reg4 = 16393880
[122] reg4 = 1688683; prev reg4 = 15740856
[123] reg4 = 8643289; prev reg4 = 1688683
[124] reg4 = 5600895; prev reg4 = 8643289
[125] reg4 = 5282315; prev reg4 = 5600895
[126] reg4 = 7938247; prev reg4 = 5282315
[127] reg4 = 4315721; prev reg4 = 7938247
[128] reg4 = 9901169; prev reg4 = 4315721
[129] reg4 = 10346565; prev reg4 = 9901169
[130] reg4 = 15742447; prev reg4 = 10346565
[131] reg4 = 3484310; prev reg4 = 15742447
[132] reg4 = 8350004; prev reg4 = 3484310
[133] reg4 = 1451491; prev reg4 = 8350004
[134] reg4 = 10450436; prev reg4 = 1451491
[135] reg4 = 4531992; prev reg4 = 10450436
[136] reg4 = 10684127; prev reg4 = 4531992
[137] reg4 = 15759061; prev reg4 = 10684127
[138] reg4 = 9403169; prev reg4 = 15759061
[139] reg4 = 16388972; prev reg4 = 9403169
[140] reg4 = 1187257; prev reg4 = 16388972
[141] reg4 = 996594; prev reg4 = 1187257
[142] reg4 = 8944736; prev reg4 = 996594
[143] reg4 = 16664080; prev reg4 = 8944736
[144] reg4 = 6258796; prev reg4 = 16664080
[145] reg4 = 7235914; prev reg4 = 6258796
[146] reg4 = 7405141; prev reg4 = 7235914
[147] reg4 = 6426217; prev reg4 = 7405141
[148] reg4 = 3318683; prev reg4 = 6426217
[149] reg4 = 11468142; prev reg4 = 3318683
[150] reg4 = 4319157; prev reg4 = 11468142
[151] reg4 = 10234586; prev reg4 = 4319157
[152] reg4 = 3310264; prev reg4 = 10234586
[153] reg4 = 6527228; prev reg4 = 3310264
[154] reg4 = 7249662; prev reg4 = 6527228
[155] reg4 = 9730302; prev reg4 = 7249662
[156] reg4 = 11159402; prev reg4 = 9730302
[157] reg4 = 9994551; prev reg4 = 11159402
[158] reg4 = 8331538; prev reg4 = 9994551
[159] reg4 = 11542229; prev reg4 = 8331538
[160] reg4 = 929993; prev reg4 = 11542229
[161] reg4 = 6367281; prev reg4 = 929993
[162] reg4 = 1095015; prev reg4 = 6367281
[163] reg4 = 12598622; prev reg4 = 1095015
[164] reg4 = 274763; prev reg4 = 12598622
[165] reg4 = 13282274; prev reg4 = 274763
[166] reg4 = 6358467; prev reg4 = 13282274
[167] reg4 = 5111154; prev reg4 = 6358467
[168] reg4 = 15912459; prev reg4 = 5111154
[169] reg4 = 16552977; prev reg4 = 15912459
[170] reg4 = 3354183; prev reg4 = 16552977
[171] reg4 = 6124453; prev reg4 = 3354183
[172] reg4 = 8999306; prev reg4 = 6124453
[173] reg4 = 8517275; prev reg4 = 8999306
[174] reg4 = 413187; prev reg4 = 8517275
[175] reg4 = 15140437; prev reg4 = 413187
[176] reg4 = 9835139; prev reg4 = 15140437
[177] reg4 = 4544681; prev reg4 = 9835139
[178] reg4 = 12343115; prev reg4 = 4544681
[179] reg4 = 9705536; prev reg4 = 12343115
[180] reg4 = 900208; prev reg4 = 9705536
[181] reg4 = 13633964; prev reg4 = 900208
[182] reg4 = 11459505; prev reg4 = 13633964
[183] reg4 = 14103772; prev reg4 = 11459505
[184] reg4 = 15116502; prev reg4 = 14103772
[185] reg4 = 12243304; prev reg4 = 15116502
[186] reg4 = 1070843; prev reg4 = 12243304
[187] reg4 = 6724275; prev reg4 = 1070843
[188] reg4 = 12572273; prev reg4 = 6724275
[189] reg4 = 7874863; prev reg4 = 12572273
[190] reg4 = 16195970; prev reg4 = 7874863
[191] reg4 = 4795725; prev reg4 = 16195970
[192] reg4 = 12106256; prev reg4 = 4795725
[193] reg4 = 16406782; prev reg4 = 12106256
[194] reg4 = 1081580; prev reg4 = 16406782
[195] reg4 = 9315376; prev reg4 = 1081580
[196] reg4 = 14290794; prev reg4 = 9315376
[197] reg4 = 8924367; prev reg4 = 14290794
[198] reg4 = 10023997; prev reg4 = 8924367
[199] reg4 = 10847263; prev reg4 = 10023997
[200] reg4 = 10392185; prev reg4 = 10847263
[201] reg4 = 1975619; prev reg4 = 10392185
[202] reg4 = 10341756; prev reg4 = 1975619
[203] reg4 = 15947785; prev reg4 = 10341756
[204] reg4 = 6396453; prev reg4 = 15947785
[205] reg4 = 497637; prev reg4 = 6396453
[206] reg4 = 13258332; prev reg4 = 497637
[207] reg4 = 6075676; prev reg4 = 13258332
[208] reg4 = 10493137; prev reg4 = 6075676
[209] reg4 = 3842907; prev reg4 = 10493137
[210] reg4 = 8385542; prev reg4 = 3842907
[211] reg4 = 8391020; prev reg4 = 8385542
[212] reg4 = 2577793; prev reg4 = 8391020
[213] reg4 = 5486494; prev reg4 = 2577793
[214] reg4 = 12449339; prev reg4 = 5486494
[215] reg4 = 7341047; prev reg4 = 12449339
[216] reg4 = 11194252; prev reg4 = 7341047
[217] reg4 = 16725637; prev reg4 = 11194252
[218] reg4 = 1574603; prev reg4 = 16725637
[219] reg4 = 294059; prev reg4 = 1574603
[220] reg4 = 15079221; prev reg4 = 294059
[221] reg4 = 5420652; prev reg4 = 15079221
[222] reg4 = 15919948; prev reg4 = 5420652
[223] reg4 = 11588633; prev reg4 = 15919948
[224] reg4 = 938843; prev reg4 = 11588633
[225] reg4 = 13818834; prev reg4 = 938843
[226] reg4 = 10210971; prev reg4 = 13818834
[227] reg4 = 6292985; prev reg4 = 10210971
[228] reg4 = 5535476; prev reg4 = 6292985
[229] reg4 = 8997882; prev reg4 = 5535476
[230] reg4 = 9587349; prev reg4 = 8997882
[231] reg4 = 14248267; prev reg4 = 9587349
[232] reg4 = 14708982; prev reg4 = 14248267
[233] reg4 = 1030862; prev reg4 = 14708982
[234] reg4 = 15396234; prev reg4 = 1030862
[235] reg4 = 8792653; prev reg4 = 15396234
[236] reg4 = 7277007; prev reg4 = 8792653
[237] reg4 = 16150548; prev reg4 = 7277007
[238] reg4 = 14375098; prev reg4 = 16150548
[239] reg4 = 10866048; prev reg4 = 14375098
[240] reg4 = 971949; prev reg4 = 10866048
[241] reg4 = 3853729; prev reg4 = 971949
[242] reg4 = 4498706; prev reg4 = 3853729
[243] reg4 = 14103547; prev reg4 = 4498706
[244] reg4 = 10834986; prev reg4 = 14103547
[245] reg4 = 5474138; prev reg4 = 10834986
[246] reg4 = 15920511; prev reg4 = 5474138
[247] reg4 = 5815828; prev reg4 = 15920511
[248] reg4 = 871694; prev reg4 = 5815828
[249] reg4 = 4883375; prev reg4 = 871694
[250] reg4 = 2621138; prev reg4 = 4883375
[251] reg4 = 7813634; prev reg4 = 2621138
[252] reg4 = 7508574; prev reg4 = 7813634
[253] reg4 = 7252510; prev reg4 = 7508574
[254] reg4 = 7590154; prev reg4 = 7252510
[255] reg4 = 16714345; prev reg4 = 7590154
[256] reg4 = 7304683; prev reg4 = 16714345
[257] reg4 = 10465076; prev reg4 = 7304683
[258] reg4 = 4657625; prev reg4 = 10465076
[259] reg4 = 12511330; prev reg4 = 4657625
[260] reg4 = 6254932; prev reg4 = 12511330
[261] reg4 = 5347499; prev reg4 = 6254932
[262] reg4 = 13815605; prev reg4 = 5347499
[263] reg4 = 8425224; prev reg4 = 13815605
[264] reg4 = 5419499; prev reg4 = 8425224
[265] reg4 = 2370268; prev reg4 = 5419499
[266] reg4 = 12816694; prev reg4 = 2370268
[267] reg4 = 2403293; prev reg4 = 12816694
[268] reg4 = 10603714; prev reg4 = 2403293
[269] reg4 = 7575982; prev reg4 = 10603714
[270] reg4 = 14391069; prev reg4 = 7575982
[271] reg4 = 13851168; prev reg4 = 14391069
[272] reg4 = 6372780; prev reg4 = 13851168
[273] reg4 = 2017909; prev reg4 = 6372780
[274] reg4 = 13276911; prev reg4 = 2017909
[275] reg4 = 15203533; prev reg4 = 13276911
[276] reg4 = 7337777; prev reg4 = 15203533
[277] reg4 = 13171928; prev reg4 = 7337777
[278] reg4 = 8864824; prev reg4 = 13171928
[279] reg4 = 16334282; prev reg4 = 8864824
[280] reg4 = 4813751; prev reg4 = 16334282
[281] reg4 = 13415172; prev reg4 = 4813751
[282] reg4 = 15470183; prev reg4 = 13415172
[283] reg4 = 11775651; prev reg4 = 15470183
[284] reg4 = 10400633; prev reg4 = 11775651
[285] reg4 = 16154396; prev reg4 = 10400633
[286] reg4 = 11166761; prev reg4 = 16154396
[287] reg4 = 13950745; prev reg4 = 11166761
[288] reg4 = 8037466; prev reg4 = 13950745
[289] reg4 = 9663788; prev reg4 = 8037466
[290] reg4 = 2326611; prev reg4 = 9663788
[291] reg4 = 12095515; prev reg4 = 2326611
[292] reg4 = 12541493; prev reg4 = 12095515
[293] reg4 = 1261315; prev reg4 = 12541493
[294] reg4 = 4910722; prev reg4 = 1261315
[295] reg4 = 9856910; prev reg4 = 4910722
[296] reg4 = 3389351; prev reg4 = 9856910
[297] reg4 = 13207494; prev reg4 = 3389351
[298] reg4 = 7768021; prev reg4 = 13207494
[299] reg4 = 7142508; prev reg4 = 7768021
[300] reg4 = 1953472; prev reg4 = 7142508
[301] reg4 = 9775950; prev reg4 = 1953472
[302] reg4 = 5897397; prev reg4 = 9775950
[303] reg4 = 7112207; prev reg4 = 5897397
[304] reg4 = 13140819; prev reg4 = 7112207
[305] reg4 = 15172520; prev reg4 = 13140819
[306] reg4 = 10671553; prev reg4 = 15172520
[307] reg4 = 579762; prev reg4 = 10671553
[308] reg4 = 11345314; prev reg4 = 579762
[309] reg4 = 3818459; prev reg4 = 11345314
[310] reg4 = 15538214; prev reg4 = 3818459
[311] reg4 = 15194314; prev reg4 = 15538214
[312] reg4 = 65588; prev reg4 = 15194314
[313] reg4 = 16667992; prev reg4 = 65588
[314] reg4 = 6660251; prev reg4 = 16667992
[315] reg4 = 5848105; prev reg4 = 6660251
[316] reg4 = 12713451; prev reg4 = 5848105
[317] reg4 = 11769282; prev reg4 = 12713451
[318] reg4 = 1908085; prev reg4 = 11769282
[319] reg4 = 13548820; prev reg4 = 1908085
[320] reg4 = 11268519; prev reg4 = 13548820
[321] reg4 = 3330008; prev reg4 = 11268519
[322] reg4 = 16250113; prev reg4 = 3330008
[323] reg4 = 12085422; prev reg4 = 16250113
[324] reg4 = 13202678; prev reg4 = 12085422
[325] reg4 = 5743530; prev reg4 = 13202678
[326] reg4 = 1841495; prev reg4 = 5743530
[327] reg4 = 14475382; prev reg4 = 1841495
[328] reg4 = 2014354; prev reg4 = 14475382
[329] reg4 = 8873528; prev reg4 = 2014354
[330] reg4 = 11115100; prev reg4 = 8873528
[331] reg4 = 5985234; prev reg4 = 11115100
[332] reg4 = 6402603; prev reg4 = 5985234
[333] reg4 = 6619951; prev reg4 = 6402603
[334] reg4 = 13802928; prev reg4 = 6619951
[335] reg4 = 10871495; prev reg4 = 13802928
[336] reg4 = 2107615; prev reg4 = 10871495
[337] reg4 = 1973009; prev reg4 = 2107615
[338] reg4 = 3844620; prev reg4 = 1973009
[339] reg4 = 15206776; prev reg4 = 3844620
[340] reg4 = 13253853; prev reg4 = 15206776
[341] reg4 = 10455533; prev reg4 = 13253853
[342] reg4 = 12182110; prev reg4 = 10455533
[343] reg4 = 3532592; prev reg4 = 12182110
[344] reg4 = 631479; prev reg4 = 3532592
[345] reg4 = 3463227; prev reg4 = 631479
[346] reg4 = 9892209; prev reg4 = 3463227
[347] reg4 = 1587706; prev reg4 = 9892209
[348] reg4 = 15825603; prev reg4 = 1587706
[349] reg4 = 9963567; prev reg4 = 15825603
[350] reg4 = 4125961; prev reg4 = 9963567
[351] reg4 = 2508382; prev reg4 = 4125961
[352] reg4 = 94062; prev reg4 = 2508382
[353] reg4 = 12676701; prev reg4 = 94062
[354] reg4 = 5757537; prev reg4 = 12676701
[355] reg4 = 2218859; prev reg4 = 5757537
[356] reg4 = 16002256; prev reg4 = 2218859
[357] reg4 = 682420; prev reg4 = 16002256
[358] reg4 = 1026791; prev reg4 = 682420
[359] reg4 = 14960149; prev reg4 = 1026791
[360] reg4 = 6138157; prev reg4 = 14960149
[361] reg4 = 13802920; prev reg4 = 6138157
[362] reg4 = 8323119; prev reg4 = 13802920
[363] reg4 = 6601315; prev reg4 = 8323119
[364] reg4 = 3756235; prev reg4 = 6601315
[365] reg4 = 9794437; prev reg4 = 3756235
[366] reg4 = 2496146; prev reg4 = 9794437
[367] reg4 = 8236442; prev reg4 = 2496146
[368] reg4 = 6595907; prev reg4 = 8236442
[369] reg4 = 15043902; prev reg4 = 6595907
[370] reg4 = 897991; prev reg4 = 15043902
[371] reg4 = 14602592; prev reg4 = 897991
[372] reg4 = 894831; prev reg4 = 14602592
[373] reg4 = 1242156; prev reg4 = 894831
[374] reg4 = 13378714; prev reg4 = 1242156
[375] reg4 = 1810866; prev reg4 = 13378714
[376] reg4 = 5677417; prev reg4 = 1810866
[377] reg4 = 3154642; prev reg4 = 5677417
[378] reg4 = 14610740; prev reg4 = 3154642
[379] reg4 = 3678283; prev reg4 = 14610740
[380] reg4 = 10930005; prev reg4 = 3678283
[381] reg4 = 3130684; prev reg4 = 10930005
[382] reg4 = 9277831; prev reg4 = 3130684
[383] reg4 = 7869838; prev reg4 = 9277831
[384] reg4 = 14986715; prev reg4 = 7869838
[385] reg4 = 600526; prev reg4 = 14986715
[386] reg4 = 9132607; prev reg4 = 600526
[387] reg4 = 11503009; prev reg4 = 9132607
[388] reg4 = 16287110; prev reg4 = 11503009
[389] reg4 = 12562867; prev reg4 = 16287110
[390] reg4 = 8425944; prev reg4 = 12562867
[391] reg4 = 16104141; prev reg4 = 8425944
[392] reg4 = 13457241; prev reg4 = 16104141
[393] reg4 = 15219578; prev reg4 = 13457241
[394] reg4 = 294309; prev reg4 = 15219578
[395] reg4 = 10547196; prev reg4 = 294309
[396] reg4 = 1434567; prev reg4 = 10547196
[397] reg4 = 6774632; prev reg4 = 1434567
[398] reg4 = 9087357; prev reg4 = 6774632
[399] reg4 = 8763602; prev reg4 = 9087357
[400] reg4 = 12910774; prev reg4 = 8763602
[401] reg4 = 3886442; prev reg4 = 12910774
[402] reg4 = 3666621; prev reg4 = 3886442
[403] reg4 = 73015; prev reg4 = 3666621
[404] reg4 = 8730950; prev reg4 = 73015
[405] reg4 = 15935883; prev reg4 = 8730950
[406] reg4 = 3210324; prev reg4 = 15935883
[407] reg4 = 7131620; prev reg4 = 3210324
[408] reg4 = 1876117; prev reg4 = 7131620
[409] reg4 = 15969311; prev reg4 = 1876117
[410] reg4 = 11365883; prev reg4 = 15969311
[411] reg4 = 7059078; prev reg4 = 11365883
[412] reg4 = 9006530; prev reg4 = 7059078
[413] reg4 = 3306751; prev reg4 = 9006530
[414] reg4 = 15502819; prev reg4 = 3306751
[415] reg4 = 3653790; prev reg4 = 15502819
[416] reg4 = 3794696; prev reg4 = 3653790
[417] reg4 = 4930411; prev reg4 = 3794696
[418] reg4 = 1881278; prev reg4 = 4930411
[419] reg4 = 10169310; prev reg4 = 1881278
[420] reg4 = 1831911; prev reg4 = 10169310
[421] reg4 = 8986074; prev reg4 = 1831911
[422] reg4 = 2507511; prev reg4 = 8986074
[423] reg4 = 8983077; prev reg4 = 2507511
[424] reg4 = 7233109; prev reg4 = 8983077
[425] reg4 = 6182899; prev reg4 = 7233109
[426] reg4 = 6695278; prev reg4 = 6182899
[427] reg4 = 1523817; prev reg4 = 6695278
[428] reg4 = 1490937; prev reg4 = 1523817
[429] reg4 = 16517232; prev reg4 = 1490937
[430] reg4 = 14644200; prev reg4 = 16517232
[431] reg4 = 5354393; prev reg4 = 14644200
[432] reg4 = 4430562; prev reg4 = 5354393
[433] reg4 = 8394402; prev reg4 = 4430562
[434] reg4 = 2486888; prev reg4 = 8394402
[435] reg4 = 5364770; prev reg4 = 2486888
[436] reg4 = 10067950; prev reg4 = 5364770
[437] reg4 = 4780565; prev reg4 = 10067950
[438] reg4 = 14852165; prev reg4 = 4780565
[439] reg4 = 3533553; prev reg4 = 14852165
[440] reg4 = 3917173; prev reg4 = 3533553
[441] reg4 = 11448582; prev reg4 = 3917173
[442] reg4 = 2594577; prev reg4 = 11448582
[443] reg4 = 14944000; prev reg4 = 2594577
[444] reg4 = 13560535; prev reg4 = 14944000
[445] reg4 = 5783397; prev reg4 = 13560535
[446] reg4 = 7186826; prev reg4 = 5783397
[447] reg4 = 10927743; prev reg4 = 7186826
[448] reg4 = 6541913; prev reg4 = 10927743
[449] reg4 = 4649999; prev reg4 = 6541913
[450] reg4 = 7567599; prev reg4 = 4649999
[451] reg4 = 4140631; prev reg4 = 7567599
[452] reg4 = 12011993; prev reg4 = 4140631
[453] reg4 = 7348138; prev reg4 = 12011993
[454] reg4 = 13948625; prev reg4 = 7348138
[455] reg4 = 6350721; prev reg4 = 13948625
[456] reg4 = 12556126; prev reg4 = 6350721
[457] reg4 = 15934335; prev reg4 = 12556126
[458] reg4 = 15112218; prev reg4 = 15934335
[459] reg4 = 11065572; prev reg4 = 15112218
[460] reg4 = 4262072; prev reg4 = 11065572
[461] reg4 = 8413356; prev reg4 = 4262072
[462] reg4 = 13063968; prev reg4 = 8413356
[463] reg4 = 13444221; prev reg4 = 13063968
[464] reg4 = 9350219; prev reg4 = 13444221
[465] reg4 = 2014835; prev reg4 = 9350219
[466] reg4 = 10534301; prev reg4 = 2014835
[467] reg4 = 1546456; prev reg4 = 10534301
[468] reg4 = 7550862; prev reg4 = 1546456
[469] reg4 = 9372139; prev reg4 = 7550862
[470] reg4 = 14590144; prev reg4 = 9372139
[471] reg4 = 8896806; prev reg4 = 14590144
[472] reg4 = 1774665; prev reg4 = 8896806
[473] reg4 = 6210425; prev reg4 = 1774665
[474] reg4 = 3559404; prev reg4 = 6210425
[475] reg4 = 6018217; prev reg4 = 3559404
[476] reg4 = 7587865; prev reg4 = 6018217
[477] reg4 = 11524805; prev reg4 = 7587865
[478] reg4 = 6318239; prev reg4 = 11524805
[479] reg4 = 2625361; prev reg4 = 6318239
[480] reg4 = 6007886; prev reg4 = 2625361
[481] reg4 = 16320944; prev reg4 = 6007886
[482] reg4 = 15369653; prev reg4 = 16320944
[483] reg4 = 9834774; prev reg4 = 15369653
[484] reg4 = 5998233; prev reg4 = 9834774
[485] reg4 = 5582475; prev reg4 = 5998233
[486] reg4 = 13248999; prev reg4 = 5582475
[487] reg4 = 13103472; prev reg4 = 13248999
[488] reg4 = 4432311; prev reg4 = 13103472
[489] reg4 = 9906112; prev reg4 = 4432311
[490] reg4 = 2494877; prev reg4 = 9906112
[491] reg4 = 8066958; prev reg4 = 2494877
[492] reg4 = 9877027; prev reg4 = 8066958
[493] reg4 = 13924365; prev reg4 = 9877027
[494] reg4 = 5715975; prev reg4 = 13924365
[495] reg4 = 12234027; prev reg4 = 5715975
[496] reg4 = 8877360; prev reg4 = 12234027
[497] reg4 = 2810011; prev reg4 = 8877360
[498] reg4 = 2070571; prev reg4 = 2810011
[499] reg4 = 3301071; prev reg4 = 2070571
[500] reg4 = 7537261; prev reg4 = 3301071
[501] reg4 = 3541739; prev reg4 = 7537261
[502] reg4 = 1981561; prev reg4 = 3541739
[503] reg4 = 820637; prev reg4 = 1981561
[504] reg4 = 4337284; prev reg4 = 820637
[505] reg4 = 9832988; prev reg4 = 4337284
[506] reg4 = 9477500; prev reg4 = 9832988
[507] reg4 = 6734933; prev reg4 = 9477500
[508] reg4 = 6775377; prev reg4 = 6734933
[509] reg4 = 10675763; prev reg4 = 6775377
[510] reg4 = 11456753; prev reg4 = 10675763
[511] reg4 = 12987305; prev reg4 = 11456753
[512] reg4 = 4625692; prev reg4 = 12987305
[513] reg4 = 9021055; prev reg4 = 4625692
[514] reg4 = 353911; prev reg4 = 9021055
[515] reg4 = 5839475; prev reg4 = 353911
[516] reg4 = 7950679; prev reg4 = 5839475
[517] reg4 = 7994210; prev reg4 = 7950679
[518] reg4 = 2179533; prev reg4 = 7994210
[519] reg4 = 14606668; prev reg4 = 2179533
[520] reg4 = 2923651; prev reg4 = 14606668
[521] reg4 = 4995605; prev reg4 = 2923651
[522] reg4 = 10793209; prev reg4 = 4995605
[523] reg4 = 14854387; prev reg4 = 10793209
[524] reg4 = 4440355; prev reg4 = 14854387
[525] reg4 = 13115108; prev reg4 = 4440355
[526] reg4 = 7289774; prev reg4 = 13115108
[527] reg4 = 8819075; prev reg4 = 7289774
[528] reg4 = 6200256; prev reg4 = 8819075
[529] reg4 = 13565449; prev reg4 = 6200256
[530] reg4 = 5188367; prev reg4 = 13565449
[531] reg4 = 14770438; prev reg4 = 5188367
[532] reg4 = 14222375; prev reg4 = 14770438
[533] reg4 = 16278093; prev reg4 = 14222375
[534] reg4 = 2245613; prev reg4 = 16278093
[535] reg4 = 2913268; prev reg4 = 2245613
[536] reg4 = 14224151; prev reg4 = 2913268
[537] reg4 = 9613356; prev reg4 = 14224151
[538] reg4 = 15474934; prev reg4 = 9613356
[539] reg4 = 10154498; prev reg4 = 15474934
[540] reg4 = 14203490; prev reg4 = 10154498
[541] reg4 = 11081972; prev reg4 = 14203490
[542] reg4 = 9225000; prev reg4 = 11081972
[543] reg4 = 14342883; prev reg4 = 9225000
[544] reg4 = 1996989; prev reg4 = 14342883
[545] reg4 = 16232197; prev reg4 = 1996989
[546] reg4 = 12262244; prev reg4 = 16232197
[547] reg4 = 7009833; prev reg4 = 12262244
[548] reg4 = 12980699; prev reg4 = 7009833
[549] reg4 = 4806280; prev reg4 = 12980699
[550] reg4 = 7336146; prev reg4 = 4806280
[551] reg4 = 15694332; prev reg4 = 7336146
[552] reg4 = 13832475; prev reg4 = 15694332
[553] reg4 = 11544908; prev reg4 = 13832475
[554] reg4 = 12346961; prev reg4 = 11544908
[555] reg4 = 5860105; prev reg4 = 12346961
[556] reg4 = 13562754; prev reg4 = 5860105
[557] reg4 = 5451863; prev reg4 = 13562754
[558] reg4 = 8088487; prev reg4 = 5451863
[559] reg4 = 15802098; prev reg4 = 8088487
[560] reg4 = 14385392; prev reg4 = 15802098
